,index,m49_un1,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
52,99,356,17348.714460022602,21220.680945519547,22597.684612936137,23142.924629299498,25903.375573875703,28952.677170891457,29542.935496054226,30681.24417616238,30997.18134454418,30043.29952848065,24282.11185924565,32042.198067280664,33235.21549123543,34959.82817522607,33063.12561215916,33713.775525491525,33596.97757511287,33716.08407309986,35808.390792374994,40413.30258041964
53,100,360,29804.554318149643,42605.73701675547,45773.87899842393,47540.739351110155,52843.7441715074,56879.43397208831,60838.50136633333,66506.6856993885,69958.66955857704,69801.12670886856,154078.8170639532,217216.26545465615,233032.92781335686,245337.79714533268,274411.54062036856,292704.1306147763,302891.90855538636,308368.8526327818,308952.46007531893,295932.0402963762
54,101,364,218.60776076704553,318.07123718564395,342.48547521921273,352.05820871831236,449.1661353029931,423.63558543799684,431.62533518969485,574.766959309927,753.5071480975611,727.1054056295623,2745.68647013968,4135.8665803253425,4061.8610691256004,3969.819932727185,3729.3679832136067,4214.967409447451,4335.563993541027,4335.353285798274,4114.123391858514,4732.393705142694
55,106,384,156.11836703532305,261.1271831082185,283.8995319493091,268.8839868689415,209.29571189346854,183.79929941514845,182.16316486630484,197.0638235995416,211.90138636605062,222.98569968304645,153.78449553906717,253.65657413428562,268.84129856565073,294.51188624089775,497.808160845045,621.9609965776866,679.9177051282071,683.4893247106912,668.4091464640604,663.3159414317183
56,107,388,457.46334444663984,538.4207013496401,512.21170485015,381.25381082098716,160.9147196279289,95.58557151893743,75.94457967119405,83.40844014643027,101.8741983267546,118.78366845191916,48.4493698820289,107.4024293099431,149.57898466994408,311.06198128302987,714.5919249267127,877.0180541753215,919.1630429400292,893.2356834043239,888.7932739087663,902.6919674043047
57,108,392,14.451707119672147,24.924882258529983,28.48065942554279,27.726183415415274,24.389495297320558,21.309992455008004,17.52802147793411,18.69503988938266,27.052559679518005,32.845602747391666,22.481985843763827,40.06874358562404,46.37964434305554,50.02684055979095,50.80197519222633,54.261836794243564,54.265093151254014,43.31243853819337,36.18475358042137,40.13064349751806
58,111,404,764.4121928510897,1227.9315824153916,1378.9008225624748,1383.8839570594303,1269.8255457968894,1177.168145104339,1230.0764373597976,1504.529401386855,1830.6029656172987,1987.3318587959425,1577.8173017682502,2419.649876068551,2258.3672217755566,2175.6917108022303,2417.115780975456,2685.5947510260753,2608.1010985625026,2409.683442474338,2491.319033016301,2776.32344514369
59,120,430,423.8431127219508,587.8682748649717,626.2560736393109,643.5303508311356,627.0545450217408,618.6984737550914,634.1625766030793,629.8398095646177,612.2120197466429,586.9043432031874,250.4317908510358,408.9101157505447,419.3715034052127,417.0925450000803,458.18076258912913,567.554377689153,564.0078249831364,638.1932462457178,758.2271392510892,1049.7335028260181
60,126,450,3928.514216172455,5038.955102094795,5329.643937063298,5523.01097034352,6257.144394609898,6746.154254604978,7285.424720248848,7940.519768125508,8491.360027719125,8843.654771494777,8760.084091926386,11956.745824730859,12248.532092851568,12965.014209941946,14011.234739624413,15359.336355407559,15691.384163544588,15169.433942365848,14747.613921918339,15654.562195484135
61,128,458,5723.552129450202,8018.629268952262,8653.496250911201,8878.511092731127,9468.563999246611,9755.852341501375,10322.936281931698,11377.7137593043,12555.524571102684,12723.279619283558,8175.429065685084,12773.245047357492,12891.558563992145,13528.513401720382,16963.82930714447,19260.073722021047,19662.066744812837,19837.29133386356,20539.92716098886,22005.09311530424
62,132,474,15.430325032784545,33.44982611458718,38.986023182990515,36.39416017909361,33.92133070177004,24.792997784156665,26.61800009402799,31.269365647961965,48.63879771846419,57.471549674585575,18.609860477331065,36.62910436511519,35.744942493922004,35.39174807883062,32.38877509808944,37.33534903772457,40.809943333309164,38.21952345007611,31.80090702348059,37.74775920811889
63,133,478,22.37329897946062,28.862718249808587,29.100489604222165,28.58122309236841,40.97475010606174,39.27516262017586,37.40649911307974,34.951180693244034,44.59885046476673,64.45605836399449,31.679759585202248,47.640147578097825,56.41247323307589,67.283396219167,56.526234186012715,75.34663795528672,81.65920081900077,86.19830138213334,55.25482909291536,42.51547616882496
64,134,480,9.311471995941421,11.310805642641535,11.253933626235568,11.53937965070187,13.59455122939855,13.30823674929966,12.68154032341869,13.367715116596239,16.679796868657462,18.621603541207673,133.30864550866295,156.55787894612192,166.2685515026379,173.81312246694654,180.44499664410833,182.67527435513864,190.3245270339585,187.86971279282562,179.81901295586334,175.30916184392422
65,135,484,14100.53147472715,21701.09487189036,21511.08899712464,20181.670886516997,18114.9011567117,18195.29614359297,19764.354787562486,22925.30846909094,24688.157155487283,25983.585472526232,43524.93170803413,67901.24627742605,77864.98344271544,80425.24604544281,84329.60600231287,83919.45449650721,80011.96996001322,71799.99790422985,71692.8203606466,84480.01342389252
66,142,508,4679.799389560816,6917.247753160242,7041.210732620636,7166.592259912335,7607.641682703642,8070.2515480367165,8594.186617862371,9743.111377104702,10093.585868569315,9265.792593017133,7530.459109784869,15208.44294940392,17372.062012588754,18337.873766955825,18998.924294778695,19835.844410185735,19725.712210663627,21744.82774379661,25207.42003965997,30043.277090006108
67,143,512,8.505406924112393,13.87200201019734,17.489278500254056,19.34719980265573,16.602751331001674,14.718764134775343,10.294352553557513,7.682830703785846,9.106744783256378,12.042666782371317,37.24301885148142,54.86502709821377,52.831017514746755,51.14451987249662,48.576361779042685,50.062587935073935,53.84539137313749,52.10114460167215,48.95572005802364,44.293359193386536
68,148,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059473651452844375,0.11894879410380915,0.11894879410380915,0.17842369629931337,0.11894860173839089,0.11894860173839089,0.11894860173839089,0.11894860173839089
69,149,533,0.0,0.0,0.0,0.059385077989233995,0.059385077989233995,0.059385077989233995,0.059385077989233995,0.059385077989233995,0.059385077989233995,0.059385077989233995,1.7815281246406187,2.49413822132382,2.434753192998475,2.1378317773885085,2.0190719572172173,2.0190719572172173,2.0190719572172173,2.3159920279428796,2.3159920279428796,2.0784555438086536
70,151,535,0.2973396929315351,0.4162765441913901,0.4757439330776604,0.4757439330776604,0.5352116595556562,0.5352102606062074,0.7136099668380028,0.5946755270937,0.5352089585524256,0.5352089585524256,32.94478567113731,41.389292987909656,44.71947340692037,51.796015896929646,57.38583408711291,61.19172881854263,59.6456396389376,60.41873290358899,61.667524757185916,60.12137423846819
71,152,540,355.1864015281979,654.7601734101967,705.3247947606812,668.3640460287262,590.6449307693493,552.9697366250883,557.5032674089722,708.8595088810462,1028.5753717827245,1292.9299961078461,834.5242169798751,1219.291152108896,1410.05705807836,1372.6934568335635,1296.26287751828,1106.524130056329,1055.7503043301276,962.659968652088,882.7683274897695,972.0804697437716
72,153,548,11.498365104514498,22.466545867460177,36.882158517130165,35.13026828504944,39.277700260045606,28.66092352335602,38.70341764125502,31.72346801761042,36.61430145741902,37.366966206382926,3.9670165641953608,13.00024150751333,15.502847255864424,18.833635070918284,20.93441607288537,22.15886124495528,21.519878636149986,14.64731135714655,22.58546177957198,89.20857655457709
73,154,554,643.0183885429592,756.6188438244196,787.4461662980779,810.2434078753945,834.8584438602554,798.2086854526285,803.3397904323788,804.6160169235286,815.2562517777928,786.0296459886916,187.47338948831978,313.6865364431951,317.25344203204236,350.8912552943004,375.83252572609655,507.8639509522434,526.6695951811104,576.9828790309621,724.2608056479745,996.1968532525382
74,155,558,2800.4537247258545,3928.7325797828307,4298.749293033422,3921.275237385633,2409.711279307474,1899.427262949128,2185.391799662134,2427.6495886861985,2531.2376457265614,2388.59954777666,1990.7175784098608,2844.9115314867245,2629.257825644568,2559.5721137513683,2695.6139112466594,2795.3215288635124,2803.7304236201426,2747.215187189376,3659.996286842919,4504.203078247483
75,157,566,7634.643963979975,10561.193686034012,10766.18674021247,9654.494775103914,9361.385697391624,8282.71843286793,9023.152870501131,8238.569283543671,9281.90699583895,10193.01183553031,14611.572518009809,21364.473650429376,22208.555120620535,22651.949296655446,25113.589507171582,27859.953732136073,28061.192003526674,27908.34914833809,28217.756701850925,31366.51730332791
76,162,583,15.16500163638655,16.36443261672157,14.798878412862727,4.742366659905819,1.0840544965470964,1.0840544965470964,1.0840544965470964,1.0840544965470964,18.70037764818158,19.545067984292974,357.95212941000074,380.4997661872992,392.06093483791904,91.06164517391869,20.421343285366408,20.421343285366408,20.421343285366408,20.421343285366408,361.0650072704539,392.5654754733217
77,164,585,66.42058580414653,105.60760776522704,115.02923130287519,107.0706403318355,90.79272978068587,83.97957154764347,114.48228184352644,129.49342746086208,107.97959310318795,97.01054074369894,25.806092525334826,54.98482175978745,72.28516812213115,61.13423209753064,43.95248047975252,33.64511640131316,24.240182647551798,35.63395499630707,57.878648251879014,66.61799593431232
78,165,586,2062.1733890797045,2811.086047973117,2715.4813442028626,2550.4046734634057,2718.158271378784,3641.7023326386175,4365.266407806069,4791.7061884237755,4234.848769756758,2961.5868552851043,10399.26836260243,13720.434532857536,14453.386595412303,16053.083381005272,17247.766498710153,16558.616671743457,14809.418581084163,14260.482245926583,17239.360939807077,25223.16288712249
79,166,591,2618.132004405456,3465.956496867312,3708.035288222457,3747.3446429157943,3681.9954943676153,3684.8176159044847,3709.7906425773463,3636.090862740207,3356.5399292647917,3124.404978418314,1845.9859789969494,2858.7782796695647,3009.3780362811817,3314.074964613776,3645.3447889252056,3991.838895520667,4101.160559799244,4399.098674316222,5084.085470269408,6122.730530406738
80,167,598,5980.891444021203,7840.919936820564,8211.388035677592,8232.48037205683,8993.532145119803,9364.403976388434,9826.144155135496,10423.64787746648,10939.960415500876,11039.686116835564,4755.071961197534,7232.0933229580505,7809.4319935557405,8859.708433302887,11598.298390400649,13212.920514466967,13862.09801361234,14589.395606606557,16136.97611663111,17640.594351482636
81,169,604,243.65293763859026,388.8314554686636,438.8168201813603,458.00255132795064,517.167039944039,629.7680628175012,718.5123499965244,798.0331422585417,810.8437236800144,761.1259593779033,716.5155793059826,1028.5536900578247,1042.8210985655448,1025.1112429650263,1086.0997380552901,1167.6458173108801,1156.4790581221878,1082.7014741905716,1029.9765593300292,1014.0155253063798
82,170,608,6910.9334380202035,10233.95706266982,10702.017511325128,10779.478914647576,11120.443260971586,11688.020393256229,12134.289280039973,13777.165420407262,15314.198495545897,15848.22681124647,15218.357524461187,23625.19055584838,25017.984673738643,25867.123331311243,26107.481065400596,26815.096726207274,27040.355317637932,26255.08835818997,25849.89775596481,26554.482648911868
83,174,624,6702.681747945712,8176.830484050097,8068.484543721043,8289.499157645985,8427.884757607899,8164.130281488848,8239.327973749076,8655.796951815115,8829.826039087304,8373.505208348108,6003.070802883582,11044.107448200702,12490.869257550163,12772.086495628671,12427.582554121775,14003.472353125628,15309.278415614725,14715.673680369793,13698.3405231128,15646.799561063577
