,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
44,JAM,Jamaica,182238,189300,189680,188498,183449,172679,168747,167681,168258,168654,168706,10550.84239895006,10959.85637351467,10981.860670989758,10913.475119130266,10621.034228488017,9997.165193651277,9769.409916293676,9707.623935681226,9741.015155692165,9763.923323368048,9766.934099997674
45,JPN,Japan,18722,18576,18447,18397,18317,18241,18121,18053,18272,18552,18586,1036.0042712306044,1027.9739925065128,1020.8604099035103,1018.1052863130918,1013.7036140862288,1009.5917913356985,1003.0524268913689,999.2671995572845,1011.3868725817937,1026.8720773297011,1028.7192304804782
46,KEN,Kenya,906142,892789,886600,891738,893180,887321,881368,883509,891278,895293,893179,55012.56286437698,54202.36893265862,53826.78221906747,54138.85234857093,54226.086876480294,53870.60439556885,53509.28626071311,53639.38526429578,54110.741177100004,54354.39150318602,54226.11598416233
47,KIR,Kiribati,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079
48,LBR,Liberia,308728,311596,311688,312150,312474,311523,309577,309892,308593,306315,301074,18676.36080388566,18849.77212575657,18855.318963000085,18883.245374119757,18902.798609716712,18845.234586318267,18727.504899951593,18746.515555505597,18668.00736720456,18530.34568438121,18213.531644262825
49,MDG,Madagascar,4847164,4763302,4727155,4727016,4718058,4712712,4697985,4701495,4721553,4738187,4728581,282644.2384584439,277812.6685826899,275726.44773580774,275725.3503026556,275202.23521884537,274890.1481134293,274031.0563576413,274238.2790151482,275415.3242842035,276387.98456424463,275833.33103445446
50,MYS,Malaysia,8781938,8741641,8703687,8712217,8705413,8658507,8625353,8628086,8642640,8650531,8629113,532012.8769191694,529560.9999829347,527258.2611407642,527774.8146060886,527362.87461018,524517.6116112716,522508.6555386497,522673.74645628844,523553.29934461025,524028.4743292833,522731.06342314865
51,MDV,Maldives,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131
52,MHL,Marshall Islands,538,538,538,538,538,538,538,538,538,538,538,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236
53,MRT,Mauritania,5531,5372,5210,5064,4869,5265,4914,4774,4654,5348,5906,323.26867700987464,313.962216404133,304.4912476815854,295.95669338102095,284.5665038830761,307.71719292992367,287.1972016747638,279.01597530395367,272.0215563209853,312.61269838172603,345.2092592050442
54,MUS,Mauritius,9680,7509,7137,6966,6839,6759,6715,6570,6625,6824,6937,552.9332163739773,428.93604286125577,407.6861430704969,397.9185984975749,390.6594735577326,386.0827709592675,383.5661787681383,375.29022966343746,378.4312186977479,389.79400028677145,396.2456580712608
55,MEX,Mexico,18420147,17896524,17600315,17422089,17354359,17250219,17259248,17356012,17557177,17590946,17391320,1050624.8176429276,1021200.4174096211,1004424.6662373915,994270.9231973368,990381.2424840017,984410.1127973264,984900.6592900135,990377.2024704766,1001750.1282077883,1003620.1544377682,992128.3896915616
56,FSM,Micronesia (Federated States of),150562,144874,144518,144301,149124,150241,150241,150241,150241,144888,144380,9083.575795910387,8740.788668136773,8719.44046233981,8706.31373948533,8997.256517396374,9064.238507121567,9064.238507121567,9064.238507121567,9064.238507121567,8741.211166288114,8710.555388421357
57,MOZ,Mozambique,5512118,5462730,5368362,5332895,5318252,5314502,5308133,5319125,5303491,5249538,5151562,318645.5246983002,315794.86497807625,310354.3295020566,308314.67341833236,307474.24319125677,307254.2420862252,306879.93183615134,307513.99910549895,306643.8083316083,303531.6905272096,297868.04020131123
58,MMR,Myanmar,9961799,9383277,9229059,9278893,9192133,8947843,8919088,8965058,8951645,8954639,9091004,582429.6342559154,549326.5697688219,540446.7109047781,543307.7346974589,538294.3834276283,524160.5567011259,522485.2693987935,525128.913308884,524309.2122661512,524426.7671645643,532222.3301548973
59,NLD,Netherlands,6451,5872,5720,5665,5551,5460,5395,5425,5405,5383,5413,383.4584544028068,349.0294802999603,339.99129973776473,336.72049808451277,329.9407869454517,324.5291963019177,320.663825269343,322.44778924974077,321.25884147461943,319.95058305248125,321.73427005533324
60,NZL,New Zealand,588187,608340,608063,611644,611939,612169,610878,611242,612849,609877,601423,29030.58321529635,30025.79352149425,30010.06571169364,30183.38184961208,30195.773254758715,30209.275524119374,30149.046892844523,30167.892838156833,30249.853242902314,30101.06808746129,29679.193443137217
61,NIC,Nicaragua,1292357,1306004,1310618,1320498,1315288,1287478,1277178,1281869,1286945,1273313,1256629,76483.56598037698,77293.30212669297,77567.38702867308,78153.05744776584,77845.26910401125,76197.66334843778,75587.67171446259,75865.22735641898,76164.0003818738,75354.80733926063,74367.96244990618
62,NGA,Nigeria,14202957,14087632,14024411,14013863,13988228,13942770,13879627,13888530,13878118,13890242,13853240,860149.1607506175,853172.2321965874,849345.8807862218,848706.7923702103,847151.7062290659,844396.9569408377,840571.9254513495,841111.1216175916,840479.3808858226,841213.3110446053,838975.6552828196
63,OMN,Oman,2982,2470,2248,2345,2407,2409,2352,2211,2199,2281,2414,167.64069481185945,138.9030828844904,126.647669723843,132.29895579736674,135.84337474201854,135.66708436381845,132.29687101156085,124.08965599227946,123.22238091397315,127.79171953709218,135.39000240084422
64,PAK,Pakistan,1802497,1652321,1606004,1591150,1559456,1541043,1570087,1614633,1632237,1568608,1401951,100002.19203534994,91665.09706182718,89092.84355046552,88264.28678414054,86499.5133278081,85472.5838080186,87085.27769624518,89558.03986207186,90533.41597784718,86997.67986529964,77740.61600351258
65,PLW,Palau,93912,94586,94752,94621,94674,94689,94747,95409,95469,94743,94416,5661.80182370935,5702.41631698816,5712.424609714789,5704.545886890092,5707.738231943655,5708.642073010284,5712.136278855681,5752.043922905324,5755.661296173905,5711.902768560658,5692.194368518736
66,PAN,Panama,2590200,2603047,2600307,2601831,2597419,2590823,2585107,2583707,2577531,2561496,2540360,155821.90474317144,156594.05076858,156429.08296036918,156520.5619951127,156255.17442147346,155858.55544861386,155514.88346355522,155430.53482594955,155058.89693159546,154094.35920216684,152823.57919118303
67,PNG,Papua New Guinea,7598129,7618381,7608108,7604679,7587596,7554735,7534068,7530936,7528745,7511606,7488292,457457.4400076812,458683.2594905049,458066.26662154373,457859.396049803,456830.21194643516,454852.6737624002,453608.9234696028,453421.48614920425,453291.69227854104,452260.4243065511,450856.5317730341
68,PER,Peru,93445,85651,82901,83490,84098,84068,84580,86227,88754,89834,89277,5669.786290354176,5196.923648686785,5030.064055765017,5065.782011969993,5102.677598717102,5100.8535922429255,5131.908535860798,5231.819582228514,5385.117958422146,5450.653454704163,5416.896724425702
69,PHL,Philippines,4897595,4758781,4673724,4658304,4645281,4646799,4644381,4648087,4688738,4721367,4718588,292732.20061975875,284424.77653331764,279340.96712658036,278416.2334573453,277644.55620309507,277745.1628153297,277605.12428680784,277826.1345821608,280254.27768197603,282196.50135934015,282025.94478209346
70,QAT,Qatar,7794,7878,7963,7858,7822,7727,7862,7921,8282,8374,8372,427.7503921885076,432.35687450963303,437.02517630204903,431.26966059342146,429.2954173343411,424.06658980295066,431.4897292010961,434.6993631875728,454.5578943922203,459.6117889032733,459.51088629744106
71,KNA,Saint Kitts and Nevis,581,601,619,611,601,572,557,544,558,588,597,33.75732684949422,34.91921749241255,35.96481992612506,35.50004723443368,34.91904102539813,33.23427966588639,32.36279444877462,31.607402117443165,32.420789158245086,34.16410828555,34.687113454440464
72,LCA,Saint Lucia,2759,2767,2758,2748,2744,2746,2733,2714,2735,2752,2745,162.9806981620834,163.45349908187515,162.9219220276123,162.3311725718816,162.09480736775086,162.21294441655783,161.44470240853343,160.3220617846226,161.56268422761087,162.56705821236937,162.15340682613578
